Job Info
Name;Stine 48 h v?kstfors?g
Status;Completed
Job ID;9
Job last modified;06-06-2014 13:55:25

Repetitions;61
Time between repetitions;00:30:00
Time between repetitions starting from 12:00:00;01:00:00
Acquire started;04-06-2014 13:18:10
Acquire completed;06-06-2014 13:52:34
Acquire duration;48:34:24
Growth Kinetics Analysis plugin;FullImageFeatures.dll

Name;ImageDistance;CameraStartPosition;Scan length;NumberOfImages;IlluminationLevel;IlluminationTime;TrayPosition;FocusPosition
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;24;8.75016880111697;3.19006491568086;5.27413554699766;1.29556854364921;8.75358581297014;0.123454293957183;45202
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;25;8.78745806708847;3.22735418165236;5.20680247384092;1.22823547049247;8.7875630335165;0.157431514503543;48802
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;26;8.82762178123491;3.2675178957988;5.0901078356789;1.11154083233045;8.827663013902;0.197531494889045;52402
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;27;8.86679483926689;3.30669095383078;5.07710231440122;1.09853531105277;8.86683943755063;0.236707918537675;56002
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;28;8.88983805877375;3.32973417333764;4.86976634427593;0.891199340927479;8.88986948899464;0.259737969981689;59602
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;29;8.89395826438711;3.333854378951;4.75695793040067;0.778390927052221;8.89398957994391;0.263858060930959;63202
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;30;8.89862971402119;3.33852582858508;4.68404538605972;0.705478382711274;8.89866057138257;0.268529052369612;66802
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;31;8.89860217238212;3.33849828694601;4.66809407523753;0.689527071889077;8.89864450948693;0.268512990473976;70402
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;32;8.89988738059674;3.33978349516063;4.7596748123128;0.781107808964348;8.89992892472118;0.269797405708227;74002
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;33;8.90109192126348;3.34098803582737;4.8630553652196;0.884488361871155;8.90113574153927;0.271004222526315;77603
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;34;8.90183443203298;3.34173054659687;4.81889233855247;0.840325335204025;8.90188750613748;0.271755987124527;81203
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;35;8.90254060324717;3.34243671781106;4.70206683147711;0.723499828128662;8.90258658357359;0.272455064560635;84803
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;36;8.90532875518728;3.34522486975117;4.76286600539313;0.784299002044681;8.90538413644682;0.275252617433866;88403
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;37;8.90813114239914;3.34802725696303;4.73917044749807;0.760603444149625;8.90818442836682;0.278052909353864;92003
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;38;8.9077448897326;3.34764100429649;4.25114915637126;0.272582153022815;8.90778096144726;0.277649442434306;95603
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;39;8.90735601832323;3.34725213288712;4.79073245853193;0.812165455183476;8.90739504463883;0.277263525625873;99203
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;40;8.91086143584092;3.35075755040481;4.7491680576189;0.770601054270448;8.91091187733919;0.280780358326234;102803
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;41;8.90991796417004;3.34981407873393;4.63965437611511;0.661087372766663;8.90996326673606;0.279831747723104;106403
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;42;8.90809814025372;3.34799425481761;4.56605339057675;0.587486387228302;8.90813898379486;0.278007464781906;110003
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;43;8.90669673593328;3.34659285049717;4.74660743151266;0.768040428164207;8.90673842742597;0.276606908413019;113603
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;44;8.90491999359626;3.34481610816015;4.72085420194526;0.74228719859681;8.9049631748495;0.274831655836547;117203
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;45;8.90206186595894;3.34195798052283;4.69676797018367;0.718200966835216;8.90209902871652;0.271967509703559;120803
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;46;8.90102164169502;3.34091775625891;4.63091485872067;0.65234785537222;8.901065377916;0.270933858903041;124403
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;47;8.89929213696865;3.33918825153254;4.60943538861906;0.630868385270612;8.89933335081113;0.269201831798174;128003
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;48;8.89766735189549;3.33756346645938;4.4409865483493;0.462419545000853;8.89770205346387;0.267570534450915;131603
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;49;8.89524473344229;3.33514084800618;4.66201445662495;0.683447453276504;8.89527387800362;0.26514235899066;135203
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;50;8.8946235244818;3.33451963904569;4.55937663088879;0.580809627540345;8.89465447377961;0.264522954766653;138803
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;51;8.89258366920243;3.33247978376632;4.68231468017096;0.703747676822514;8.89261468608519;0.262483167072237;142403
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;52;8.89054757012256;3.33044368468645;4.7373348531507;0.758767849802247;8.89057344105053;0.260441922037579;146004
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;53;8.88855635227395;3.32845246683784;4.71289015765848;0.734323154310035;8.88857856240336;0.258447043390403;149604
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;54;8.88598341457214;3.32587952913603;4.70367752323962;0.725110519891166;8.88600089780958;0.255869378796628;153204
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;55;8.88370888602028;3.32360500058417;4.66535953904983;0.686792535701381;8.88372319093261;0.253591671919652;156804
